measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.33878604;A;lih-rih
ctc_probability;embeds;L;1;0.3241783;A;lih-rih
ctc_probability;embeds;L;2;0.28966352;A;lih-rih
ctc_probability;embeds;L;3;0.3589269;A;lih-rih
ctc_probability;embeds;L;4;0.32794985;A;lih-rih
ctc_probability;embeds;L;5;0.22822006;A;lih-rih
ctc_probability;embeds;L;6;0.2814882;A;lih-rih
ctc_probability;embeds;L;7;0.30354697;A;lih-rih
ctc_probability;embeds;L;8;0.23700604;A;lih-rih
ctc_probability;embeds;L;9;0.2439897;A;lih-rih
ctc_probability;embeds;L;10;0.21594295;A;lih-rih
ctc_probability;embeds;R;0;0.032195337;A;lih-rih
ctc_probability;embeds;R;1;0.061113667;A;lih-rih
ctc_probability;embeds;R;2;0.03574053;A;lih-rih
ctc_probability;embeds;R;3;0.05676848;A;lih-rih
ctc_probability;embeds;R;4;0.08662843;A;lih-rih
ctc_probability;embeds;R;5;0.09860125;A;lih-rih
ctc_probability;embeds;R;6;0.11309742;A;lih-rih
ctc_probability;embeds;R;7;0.16564894;A;lih-rih
ctc_probability;embeds;R;8;0.15513279;A;lih-rih
ctc_probability;embeds;R;9;0.13621955;A;lih-rih
ctc_probability;embeds;R;10;0.18722385;A;lih-rih
ctc_probability;T1;L;0;0.1047022;A;lih-rih
ctc_probability;T1;L;1;0.081812374;A;lih-rih
ctc_probability;T1;L;2;0.06999796;A;lih-rih
ctc_probability;T1;L;3;0.0948714;A;lih-rih
ctc_probability;T1;L;4;0.07933071;A;lih-rih
ctc_probability;T1;L;5;0.0677416;A;lih-rih
ctc_probability;T1;L;6;0.07492516;A;lih-rih
ctc_probability;T1;L;7;0.07667324;A;lih-rih
ctc_probability;T1;L;8;0.073206715;A;lih-rih
ctc_probability;T1;L;9;0.05206323;A;lih-rih
ctc_probability;T1;L;10;0.05532215;A;lih-rih
ctc_probability;T1;R;0;0.032026935;A;lih-rih
ctc_probability;T1;R;1;0.04381885;A;lih-rih
ctc_probability;T1;R;2;0.035076007;A;lih-rih
ctc_probability;T1;R;3;0.04561819;A;lih-rih
ctc_probability;T1;R;4;0.05372092;A;lih-rih
ctc_probability;T1;R;5;0.08271253;A;lih-rih
ctc_probability;T1;R;6;0.09166259;A;lih-rih
ctc_probability;T1;R;7;0.14596927;A;lih-rih
ctc_probability;T1;R;8;0.12209675;A;lih-rih
ctc_probability;T1;R;9;0.12043702;A;lih-rih
ctc_probability;T1;R;10;0.11298428;A;lih-rih
ctc_probability;T2;L;0;0.10455391;A;lih-rih
ctc_probability;T2;L;1;0.08619394;A;lih-rih
ctc_probability;T2;L;2;0.058235437;A;lih-rih
ctc_probability;T2;L;3;0.08486521;A;lih-rih
ctc_probability;T2;L;4;0.09008821;A;lih-rih
ctc_probability;T2;L;5;0.06570264;A;lih-rih
ctc_probability;T2;L;6;0.04760071;A;lih-rih
ctc_probability;T2;L;7;0.04451806;A;lih-rih
ctc_probability;T2;L;8;0.034509726;A;lih-rih
ctc_probability;T2;L;9;0.029612409;A;lih-rih
ctc_probability;T2;L;10;0.031169595;A;lih-rih
ctc_probability;T2;R;0;0.056044783;A;lih-rih
ctc_probability;T2;R;1;0.06999503;A;lih-rih
ctc_probability;T2;R;2;0.0729673;A;lih-rih
ctc_probability;T2;R;3;0.08737079;A;lih-rih
ctc_probability;T2;R;4;0.10525499;A;lih-rih
ctc_probability;T2;R;5;0.14789872;A;lih-rih
