measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.06703197;A;lih-rih
ctc_probability;embeds;L;1;0.052092507;A;lih-rih
ctc_probability;embeds;L;2;0.035004865;A;lih-rih
ctc_probability;embeds;L;3;0.06802723;A;lih-rih
ctc_probability;embeds;L;4;0.049625225;A;lih-rih
ctc_probability;embeds;L;5;0.039963704;A;lih-rih
ctc_probability;embeds;L;6;0.030985037;A;lih-rih
ctc_probability;embeds;L;7;0.06383645;A;lih-rih
ctc_probability;embeds;L;8;0.059961263;A;lih-rih
ctc_probability;embeds;L;9;0.026943237;A;lih-rih
ctc_probability;embeds;L;10;0.028622575;A;lih-rih
ctc_probability;embeds;R;0;0.111676194;A;lih-rih
ctc_probability;embeds;R;1;0.13268209;A;lih-rih
ctc_probability;embeds;R;2;0.052852035;A;lih-rih
ctc_probability;embeds;R;3;0.12961987;A;lih-rih
ctc_probability;embeds;R;4;0.08674061;A;lih-rih
ctc_probability;embeds;R;5;0.031276163;A;lih-rih
ctc_probability;embeds;R;6;0.037098996;A;lih-rih
ctc_probability;embeds;R;7;0.071027644;A;lih-rih
ctc_probability;embeds;R;8;0.06378677;A;lih-rih
ctc_probability;embeds;R;9;0.07463167;A;lih-rih
ctc_probability;embeds;R;10;0.055140153;A;lih-rih
ctc_probability;T1;L;0;0.20665923;A;lih-rih
ctc_probability;T1;L;1;0.19110996;A;lih-rih
ctc_probability;T1;L;2;0.14870328;A;lih-rih
ctc_probability;T1;L;3;0.11004303;A;lih-rih
ctc_probability;T1;L;4;0.22733568;A;lih-rih
ctc_probability;T1;L;5;0.18006633;A;lih-rih
ctc_probability;T1;L;6;0.20029864;A;lih-rih
ctc_probability;T1;L;7;0.16944574;A;lih-rih
ctc_probability;T1;L;8;0.31501633;A;lih-rih
ctc_probability;T1;L;9;0.16640231;A;lih-rih
ctc_probability;T1;L;10;0.13250802;A;lih-rih
ctc_probability;T1;R;0;0.07732093;A;lih-rih
ctc_probability;T1;R;1;0.12484677;A;lih-rih
ctc_probability;T1;R;2;0.11059308;A;lih-rih
ctc_probability;T1;R;3;0.11466747;A;lih-rih
ctc_probability;T1;R;4;0.098991536;A;lih-rih
ctc_probability;T1;R;5;0.09330696;A;lih-rih
ctc_probability;T1;R;6;0.10527735;A;lih-rih
ctc_probability;T1;R;7;0.16221784;A;lih-rih
ctc_probability;T1;R;8;0.17093161;A;lih-rih
ctc_probability;T1;R;9;0.12923819;A;lih-rih
ctc_probability;T1;R;10;0.13047412;A;lih-rih
ctc_probability;T2;L;0;0.01996976;A;lih-rih
ctc_probability;T2;L;1;0.01990429;A;lih-rih
ctc_probability;T2;L;2;0.018092863;A;lih-rih
ctc_probability;T2;L;3;0.022672571;A;lih-rih
ctc_probability;T2;L;4;0.02495862;A;lih-rih
ctc_probability;T2;L;5;0.020741396;A;lih-rih
ctc_probability;T2;L;6;0.021208864;A;lih-rih
ctc_probability;T2;L;7;0.027882872;A;lih-rih
ctc_probability;T2;L;8;0.02685625;A;lih-rih
ctc_probability;T2;L;9;0.028109072;A;lih-rih
ctc_probability;T2;L;10;0.022071464;A;lih-rih
ctc_probability;T2;R;0;0.031518523;A;lih-rih
ctc_probability;T2;R;1;0.027124286;A;lih-rih
ctc_probability;T2;R;2;0.028056491;A;lih-rih
ctc_probability;T2;R;3;0.033058193;A;lih-rih
ctc_probability;T2;R;4;0.03654999;A;lih-rih
ctc_probability;T2;R;5;0.03132666;A;lih-rih
ctc_probability;T2;R;6;0.030936852;A;lih-rih
ctc_probability;T2;R;7;0.034800533;A;lih-rih
ctc_probability;T2;R;8;0.038135197;A;lih-rih
ctc_probability;T2;R;9;0.030157134;A;lih-rih
ctc_probability;T2;R;10;0.03391402;A;lih-rih
ctc_probability;T3;L;0;0.1359044;A;lih-rih
ctc_probability;T3;L;1;0.14643088;A;lih-rih
ctc_probability;T3;L;2;0.12090911;A;lih-rih
ctc_probability;T3;L;3;0.134571;A;lih-rih
ctc_probability;T3;L;4;0.16652171;A;lih-rih
ctc_probability;T3;L;5;0.115666024;A;lih-rih
ctc_probability;T3;L;6;0.1254973;A;lih-rih
ctc_probability;T3;L;7;0.13726161;A;lih-rih
ctc_probability;T3;L;8;0.2275303;A;lih-rih
ctc_probability;T3;L;9;0.14725691;A;lih-rih
ctc_probability;T3;L;10;0.12009198;A;lih-rih
ctc_probability;T3;R;0;0.06322317;A;lih-rih
ctc_probability;T3;R;1;0.050481;A;lih-rih
ctc_probability;T3;R;2;0.07659986;A;lih-rih
ctc_probability;T3;R;3;0.06634853;A;lih-rih
ctc_probability;T3;R;4;0.07822233;A;lih-rih
ctc_probability;T3;R;5;0.056026913;A;lih-rih
ctc_probability;T3;R;6;0.064987935;A;lih-rih
ctc_probability;T3;R;7;0.09474565;A;lih-rih
ctc_probability;T3;R;8;0.06458012;A;lih-rih
ctc_probability;T3;R;9;0.06442408;A;lih-rih
ctc_probability;T3;R;10;0.06237833;A;lih-rih
ctc_probability;T4;L;0;0.1513024;A;lih-rih
ctc_probability;T4;L;1;0.20457724;A;lih-rih
ctc_probability;T4;L;2;0.18558583;A;lih-rih
ctc_probability;T4;L;3;0.16123304;A;lih-rih
ctc_probability;T4;L;4;0.16596013;A;lih-rih
ctc_probability;T4;L;5;0.19027968;A;lih-rih
ctc_probability;T4;L;6;0.23320498;A;lih-rih
ctc_probability;T4;L;7;0.1415395;A;lih-rih
ctc_probability;T4;L;8;0.2577102;A;lih-rih
ctc_probability;T4;L;9;0.24749793;A;lih-rih
ctc_probability;T4;L;10;0.27262464;A;lih-rih
ctc_probability;T4;R;0;0.12178585;A;lih-rih
ctc_probability;T4;R;1;0.13000242;A;lih-rih
ctc_probability;T4;R;2;0.2083195;A;lih-rih
ctc_probability;T4;R;3;0.12618436;A;lih-rih
ctc_probability;T4;R;4;0.12781814;A;lih-rih
ctc_probability;T4;R;5;0.12325641;A;lih-rih
ctc_probability;T4;R;6;0.16207318;A;lih-rih
ctc_probability;T4;R;7;0.16114996;A;lih-rih
ctc_probability;T4;R;8;0.13552345;A;lih-rih
ctc_probability;T4;R;9;0.10819206;A;lih-rih
ctc_probability;T4;R;10;0.16074239;A;lih-rih
ctc_probability;T5;L;0;0.039964456;A;lih-rih
ctc_probability;T5;L;1;0.06484184;A;lih-rih
ctc_probability;T5;L;2;0.07233078;A;lih-rih
ctc_probability;T5;L;3;0.052914467;A;lih-rih
ctc_probability;T5;L;4;0.04999229;A;lih-rih
