measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.15645304;A;lih-rih
ctc_probability;embeds;L;1;0.17521043;A;lih-rih
ctc_probability;embeds;L;2;0.12610422;A;lih-rih
ctc_probability;embeds;L;3;0.16373734;A;lih-rih
ctc_probability;embeds;L;4;0.14503923;A;lih-rih
ctc_probability;embeds;L;5;0.10894275;A;lih-rih
ctc_probability;embeds;L;6;0.13031195;A;lih-rih
ctc_probability;embeds;L;7;0.18812235;A;lih-rih
ctc_probability;embeds;L;8;0.10881865;A;lih-rih
ctc_probability;embeds;L;9;0.12148342;A;lih-rih
ctc_probability;embeds;L;10;0.13361277;A;lih-rih
ctc_probability;embeds;R;0;0.035969336;A;lih-rih
ctc_probability;embeds;R;1;0.038383543;A;lih-rih
ctc_probability;embeds;R;2;0.029562201;A;lih-rih
ctc_probability;embeds;R;3;0.044200197;A;lih-rih
ctc_probability;embeds;R;4;0.04598225;A;lih-rih
ctc_probability;embeds;R;5;0.056403134;A;lih-rih
ctc_probability;embeds;R;6;0.06994225;A;lih-rih
ctc_probability;embeds;R;7;0.10054113;A;lih-rih
ctc_probability;embeds;R;8;0.10927305;A;lih-rih
ctc_probability;embeds;R;9;0.07508434;A;lih-rih
ctc_probability;embeds;R;10;0.106562115;A;lih-rih
ctc_probability;T1;L;0;0.0948044;A;lih-rih
ctc_probability;T1;L;1;0.07895478;A;lih-rih
ctc_probability;T1;L;2;0.0598823;A;lih-rih
ctc_probability;T1;L;3;0.06396977;A;lih-rih
ctc_probability;T1;L;4;0.062185407;A;lih-rih
ctc_probability;T1;L;5;0.055372935;A;lih-rih
ctc_probability;T1;L;6;0.05727225;A;lih-rih
ctc_probability;T1;L;7;0.05849128;A;lih-rih
ctc_probability;T1;L;8;0.05478725;A;lih-rih
ctc_probability;T1;L;9;0.046329275;A;lih-rih
ctc_probability;T1;L;10;0.04614562;A;lih-rih
ctc_probability;T1;R;0;0.02570797;A;lih-rih
ctc_probability;T1;R;1;0.02108207;A;lih-rih
ctc_probability;T1;R;2;0.01848315;A;lih-rih
ctc_probability;T1;R;3;0.0233294;A;lih-rih
ctc_probability;T1;R;4;0.02886083;A;lih-rih
ctc_probability;T1;R;5;0.029171329;A;lih-rih
ctc_probability;T1;R;6;0.04270257;A;lih-rih
ctc_probability;T1;R;7;0.060487553;A;lih-rih
ctc_probability;T1;R;8;0.058359407;A;lih-rih
ctc_probability;T1;R;9;0.049525727;A;lih-rih
ctc_probability;T1;R;10;0.06256755;A;lih-rih
ctc_probability;T2;L;0;0.09752289;A;lih-rih
ctc_probability;T2;L;1;0.09080335;A;lih-rih
ctc_probability;T2;L;2;0.063061774;A;lih-rih
ctc_probability;T2;L;3;0.07219049;A;lih-rih
ctc_probability;T2;L;4;0.078020185;A;lih-rih
ctc_probability;T2;L;5;0.06653384;A;lih-rih
