measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.03884465;A;lih-rih
ctc_probability;embeds;L;1;0.35123834;A;lih-rih
ctc_probability;embeds;L;2;0.5994059;A;lih-rih
ctc_probability;embeds;L;3;0.46922246;A;lih-rih
ctc_probability;embeds;L;4;0.49688315;A;lih-rih
ctc_probability;embeds;L;5;0.7871877;A;lih-rih
ctc_probability;embeds;L;6;0.13346441;A;lih-rih
ctc_probability;embeds;L;7;0.18269671;A;lih-rih
ctc_probability;embeds;L;8;0.7692091;A;lih-rih
ctc_probability;embeds;L;9;0.045251127;A;lih-rih
ctc_probability;embeds;L;10;0.024704646;A;lih-rih
ctc_probability;embeds;R;0;0.21632904;A;lih-rih
ctc_probability;embeds;R;1;0.40810066;A;lih-rih
ctc_probability;embeds;R;2;0.23339258;A;lih-rih
ctc_probability;embeds;R;3;0.30345276;A;lih-rih
ctc_probability;embeds;R;4;0.8131444;A;lih-rih
ctc_probability;embeds;R;5;0.41731322;A;lih-rih
ctc_probability;embeds;R;6;0.052924454;A;lih-rih
ctc_probability;embeds;R;7;0.8513165;A;lih-rih
ctc_probability;embeds;R;8;0.39399815;A;lih-rih
ctc_probability;embeds;R;9;0.35600007;A;lih-rih
ctc_probability;embeds;R;10;0.19310555;A;lih-rih
ctc_probability;T1;L;0;0.06873087;A;lih-rih
ctc_probability;T1;L;1;0.20692293;A;lih-rih
ctc_probability;T1;L;2;0.45192906;A;lih-rih
ctc_probability;T1;L;3;0.5765548;A;lih-rih
ctc_probability;T1;L;4;0.09323689;A;lih-rih
ctc_probability;T1;L;5;0.457508;A;lih-rih
ctc_probability;T1;L;6;0.03577484;A;lih-rih
ctc_probability;T1;L;7;0.20167;A;lih-rih
ctc_probability;T1;L;8;0.8545744;A;lih-rih
ctc_probability;T1;L;9;0.024490293;A;lih-rih
ctc_probability;T1;L;10;0.011876866;A;lih-rih
ctc_probability;T1;R;0;0.024656596;A;lih-rih
ctc_probability;T1;R;1;0.30521956;A;lih-rih
ctc_probability;T1;R;2;0.2606714;A;lih-rih
ctc_probability;T1;R;3;0.31755102;A;lih-rih
ctc_probability;T1;R;4;0.584628;A;lih-rih
ctc_probability;T1;R;5;0.3284868;A;lih-rih
ctc_probability;T1;R;6;0.14267449;A;lih-rih
ctc_probability;T1;R;7;0.35630813;A;lih-rih
ctc_probability;T1;R;8;0.08861351;A;lih-rih
ctc_probability;T1;R;9;0.49160397;A;lih-rih
ctc_probability;T1;R;10;0.15650356;A;lih-rih
ctc_probability;T2;L;0;0.061312873;A;lih-rih
ctc_probability;T2;L;1;0.10678379;A;lih-rih
ctc_probability;T2;L;2;0.52632004;A;lih-rih
ctc_probability;T2;L;3;0.49186298;A;lih-rih
ctc_probability;T2;L;4;0.17764065;A;lih-rih
ctc_probability;T2;L;5;0.7802703;A;lih-rih
ctc_probability;T2;L;6;0.07842061;A;lih-rih
ctc_probability;T2;L;7;0.2301687;A;lih-rih
ctc_probability;T2;L;8;0.7107386;A;lih-rih
ctc_probability;T2;L;9;0.6201366;A;lih-rih
ctc_probability;T2;L;10;0.029767297;A;lih-rih
ctc_probability;T2;R;0;0.058155574;A;lih-rih
ctc_probability;T2;R;1;0.26097542;A;lih-rih
ctc_probability;T2;R;2;0.75794923;A;lih-rih
ctc_probability;T2;R;3;0.6581471;A;lih-rih
ctc_probability;T2;R;4;0.8570702;A;lih-rih
ctc_probability;T2;R;5;0.6230036;A;lih-rih
ctc_probability;T2;R;6;0.68613285;A;lih-rih
ctc_probability;T2;R;7;0.45233312;A;lih-rih
ctc_probability;T2;R;8;0.13425878;A;lih-rih
ctc_probability;T2;R;9;0.5309086;A;lih-rih
ctc_probability;T2;R;10;0.18318112;A;lih-rih
ctc_probability;T3;L;0;0.0044962917;A;lih-rih
ctc_probability;T3;L;1;0.028360555;A;lih-rih
ctc_probability;T3;L;2;0.044825174;A;lih-rih
ctc_probability;T3;L;3;0.10651627;A;lih-rih
ctc_probability;T3;L;4;0.019295424;A;lih-rih
ctc_probability;T3;L;5;0.11009824;A;lih-rih
ctc_probability;T3;L;6;0.025722157;A;lih-rih
ctc_probability;T3;L;7;0.020980576;A;lih-rih
ctc_probability;T3;L;8;0.13929987;A;lih-rih
ctc_probability;T3;L;9;0.04886742;A;lih-rih
ctc_probability;T3;L;10;0.0017087118;A;lih-rih
ctc_probability;T3;R;0;0.065788254;A;lih-rih
ctc_probability;T3;R;1;0.5540032;A;lih-rih
ctc_probability;T3;R;2;0.8457704;A;lih-rih
ctc_probability;T3;R;3;0.78475577;A;lih-rih
ctc_probability;T3;R;4;0.8655846;A;lih-rih
ctc_probability;T3;R;5;0.81618536;A;lih-rih
ctc_probability;T3;R;6;0.77230024;A;lih-rih
ctc_probability;T3;R;7;0.41886705;A;lih-rih
ctc_probability;T3;R;8;0.4444839;A;lih-rih
ctc_probability;T3;R;9;0.6924602;A;lih-rih
ctc_probability;T3;R;10;0.44491962;A;lih-rih
ctc_probability;T4;L;0;0.03517787;A;lih-rih
ctc_probability;T4;L;1;0.03888165;A;lih-rih
ctc_probability;T4;L;2;0.14072855;A;lih-rih
ctc_probability;T4;L;3;0.21904156;A;lih-rih
ctc_probability;T4;L;4;0.047568068;A;lih-rih
ctc_probability;T4;L;5;0.09661134;A;lih-rih
ctc_probability;T4;L;6;0.05660958;A;lih-rih
ctc_probability;T4;L;7;0.026162948;A;lih-rih
ctc_probability;T4;L;8;0.05056431;A;lih-rih
ctc_probability;T4;L;9;0.025641311;A;lih-rih
ctc_probability;T4;L;10;0.01710575;A;lih-rih
ctc_probability;T4;R;0;0.014093445;A;lih-rih
ctc_probability;T4;R;1;0.36945444;A;lih-rih
ctc_probability;T4;R;2;0.54004467;A;lih-rih
ctc_probability;T4;R;3;0.783662;A;lih-rih
ctc_probability;T4;R;4;0.98075837;A;lih-rih
ctc_probability;T4;R;5;0.46982306;A;lih-rih
ctc_probability;T4;R;6;0.31093243;A;lih-rih
ctc_probability;T4;R;7;0.3722212;A;lih-rih
ctc_probability;T4;R;8;0.17349921;A;lih-rih
ctc_probability;T4;R;9;0.2939475;A;lih-rih
ctc_probability;T4;R;10;0.22684214;A;lih-rih
ctc_probability;T5;L;0;0.08367243;A;lih-rih
ctc_probability;T5;L;1;0.041024785;A;lih-rih
ctc_probability;T5;L;2;0.30011508;A;lih-rih
ctc_probability;T5;L;3;0.16359605;A;lih-rih
ctc_probability;T5;L;4;0.014198628;A;lih-rih
ctc_probability;T5;L;5;0.18297188;A;lih-rih
ctc_probability;T5;L;6;0.06868044;A;lih-rih
ctc_probability;T5;L;7;0.008456735;A;lih-rih
ctc_probability;T5;L;8;0.08937448;A;lih-rih
ctc_probability;T5;L;9;0.020076968;A;lih-rih
ctc_probability;T5;L;10;0.035821635;A;lih-rih
ctc_probability;T5;R;0;0.016232623;A;lih-rih
ctc_probability;T5;R;1;0.14792815;A;lih-rih
ctc_probability;T5;R;2;0.15078051;A;lih-rih
ctc_probability;T5;R;3;0.49084812;A;lih-rih
ctc_probability;T5;R;4;0.9447084;A;lih-rih
ctc_probability;T5;R;5;0.17403108;A;lih-rih
ctc_probability;T5;R;6;0.11937276;A;lih-rih
ctc_probability;T5;R;7;0.15986957;A;lih-rih
ctc_probability;T5;R;8;0.092750035;A;lih-rih
ctc_probability;T5;R;9;0.113129154;A;lih-rih
ctc_probability;T5;R;10;0.030896606;A;lih-rih
ctc_probability;T6;L;0;0.05085788;A;lih-rih
ctc_probability;T6;L;1;0.012466156;A;lih-rih
ctc_probability;T6;L;2;0.12848197;A;lih-rih
ctc_probability;T6;L;3;0.034134973;A;lih-rih
ctc_probability;T6;L;4;0.016849501;A;lih-rih
ctc_probability;T6;L;5;0.061618336;A;lih-rih
ctc_probability;T6;L;6;0.044399314;A;lih-rih
ctc_probability;T6;L;7;0.0022673048;A;lih-rih
ctc_probability;T6;L;8;0.02058002;A;lih-rih
ctc_probability;T6;L;9;0.008030826;A;lih-rih
ctc_probability;T6;L;10;0.00025229412;A;lih-rih
ctc_probability;T6;R;0;0.0285584;A;lih-rih
ctc_probability;T6;R;1;0.25272286;A;lih-rih
ctc_probability;T6;R;2;0.1302992;A;lih-rih
ctc_probability;T6;R;3;0.37287238;A;lih-rih
ctc_probability;T6;R;4;0.8562247;A;lih-rih
ctc_probability;T6;R;5;0.3549426;A;lih-rih
ctc_probability;T6;R;6;0.19882478;A;lih-rih
ctc_probability;T6;R;7;0.573182;A;lih-rih
ctc_probability;T6;R;8;0.04961968;A;lih-rih
ctc_probability;T6;R;9;0.13676925;A;lih-rih
ctc_probability;T6;R;10;0.046871986;A;lih-rih
ctc_probability;T7;L;0;0.011424939;A;lih-rih
ctc_probability;T7;L;1;0.000376642;A;lih-rih
ctc_probability;T7;L;2;0.18254584;A;lih-rih
ctc_probability;T7;L;3;0.023794347;A;lih-rih
ctc_probability;T7;L;4;0.0047133733;A;lih-rih
ctc_probability;T7;L;5;0.039413232;A;lih-rih
ctc_probability;T7;L;6;0.040119924;A;lih-rih
ctc_probability;T7;L;7;0.00078909256;A;lih-rih
ctc_probability;T7;L;8;0.0042438214;A;lih-rih
ctc_probability;T7;L;9;0.00016552662;A;lih-rih
ctc_probability;T7;L;10;0.00011248248;A;lih-rih
ctc_probability;T7;R;0;0.00080834207;A;lih-rih
ctc_probability;T7;R;1;0.19061784;A;lih-rih
ctc_probability;T7;R;2;0.08523002;A;lih-rih
ctc_probability;T7;R;3;0.020749955;A;lih-rih
ctc_probability;T7;R;4;0.4378546;A;lih-rih
ctc_probability;T7;R;5;0.2443075;A;lih-rih
ctc_probability;T7;R;6;0.09829439;A;lih-rih
ctc_probability;T7;R;7;0.101078965;A;lih-rih
ctc_probability;T7;R;8;0.014440713;A;lih-rih
ctc_probability;T7;R;9;0.1255501;A;lih-rih
ctc_probability;T7;R;10;0.011434387;A;lih-rih
ctc_probability;T8;L;0;0.027495306;A;lih-rih
ctc_probability;T8;L;1;0.0076702684;A;lih-rih
ctc_probability;T8;L;2;0.37215784;A;lih-rih
ctc_probability;T8;L;3;0.04499638;A;lih-rih
ctc_probability;T8;L;4;0.0033755852;A;lih-rih
ctc_probability;T8;L;5;0.07691601;A;lih-rih
ctc_probability;T8;L;6;0.1449973;A;lih-rih
ctc_probability;T8;L;7;0.002500574;A;lih-rih
ctc_probability;T8;L;8;0.0066201957;A;lih-rih
ctc_probability;T8;L;9;0.0003628433;A;lih-rih
ctc_probability;T8;L;10;5.3412325e-05;A;lih-rih
ctc_probability;T8;R;0;0.00042709403;A;lih-rih
ctc_probability;T8;R;1;0.49757826;A;lih-rih
ctc_probability;T8;R;2;0.04227296;A;lih-rih
ctc_probability;T8;R;3;0.2339331;A;lih-rih
ctc_probability;T8;R;4;0.18263598;A;lih-rih
ctc_probability;T8;R;5;0.4004014;A;lih-rih
ctc_probability;T8;R;6;0.099817865;A;lih-rih
ctc_probability;T8;R;7;0.5459495;A;lih-rih
ctc_probability;T8;R;8;0.0012480203;A;lih-rih
ctc_probability;T8;R;9;0.33011755;A;lih-rih
ctc_probability;T8;R;10;0.018899567;A;lih-rih
ctc_probability;T9;L;0;0.13319314;A;lih-rih
ctc_probability;T9;L;1;0.001600316;A;lih-rih
ctc_probability;T9;L;2;0.055795096;A;lih-rih
ctc_probability;T9;L;3;0.51222605;A;lih-rih
ctc_probability;T9;L;4;0.0012511127;A;lih-rih
ctc_probability;T9;L;5;0.09403104;A;lih-rih
ctc_probability;T9;L;6;0.014880189;A;lih-rih
ctc_probability;T9;L;7;0.00051420316;A;lih-rih
ctc_probability;T9;L;8;0.0028987115;A;lih-rih
ctc_probability;T9;L;9;0.00014712122;A;lih-rih
ctc_probability;T9;L;10;1.8113144e-05;A;lih-rih
ctc_probability;T9;R;0;6.663214e-05;A;lih-rih
ctc_probability;T9;R;1;0.012316739;A;lih-rih
ctc_probability;T9;R;2;0.009406059;A;lih-rih
ctc_probability;T9;R;3;0.0026666545;A;lih-rih
ctc_probability;T9;R;4;0.03990174;A;lih-rih
ctc_probability;T9;R;5;0.01389703;A;lih-rih
ctc_probability;T9;R;6;0.024940815;A;lih-rih
ctc_probability;T9;R;7;0.019208942;A;lih-rih
ctc_probability;T9;R;8;0.00028585666;A;lih-rih
ctc_probability;T9;R;9;0.013625633;A;lih-rih
ctc_probability;T9;R;10;0.0010564451;A;lih-rih
ctc_probability;T10;L;0;0.0007040684;A;lih-rih
ctc_probability;T10;L;1;0.0010972939;A;lih-rih
ctc_probability;T10;L;2;0.093913265;A;lih-rih
ctc_probability;T10;L;3;0.0748304;A;lih-rih
ctc_probability;T10;L;4;0.00010641484;A;lih-rih
ctc_probability;T10;L;5;0.0027808468;A;lih-rih
ctc_probability;T10;L;6;0.021251319;A;lih-rih
ctc_probability;T10;L;7;2.2091019e-05;A;lih-rih
ctc_probability;T10;L;8;2.3361052e-05;A;lih-rih
ctc_probability;T10;L;9;1.0716423e-05;A;lih-rih
ctc_probability;T10;L;10;2.6269672e-06;A;lih-rih
ctc_probability;T10;R;0;3.2429896e-06;A;lih-rih
ctc_probability;T10;R;1;0.0003046588;A;lih-rih
ctc_probability;T10;R;2;0.0017444907;A;lih-rih
ctc_probability;T10;R;3;0.0009747047;A;lih-rih
ctc_probability;T10;R;4;0.016462771;A;lih-rih
ctc_probability;T10;R;5;0.0011438606;A;lih-rih
ctc_probability;T10;R;6;0.00126472;A;lih-rih
ctc_probability;T10;R;7;0.0006906567;A;lih-rih
ctc_probability;T10;R;8;1.799573e-05;A;lih-rih
ctc_probability;T10;R;9;0.0003263262;A;lih-rih
ctc_probability;T10;R;10;0.00022972199;A;lih-rih
ctc_probability;T11;L;0;0.038083803;A;lih-rih
ctc_probability;T11;L;1;0.21963947;A;lih-rih
ctc_probability;T11;L;2;0.27720279;A;lih-rih
ctc_probability;T11;L;3;0.35038227;A;lih-rih
ctc_probability;T11;L;4;0.00079266424;A;lih-rih
ctc_probability;T11;L;5;0.15673172;A;lih-rih
ctc_probability;T11;L;6;0.14732164;A;lih-rih
ctc_probability;T11;L;7;0.0044322205;A;lih-rih
ctc_probability;T11;L;8;0.002563652;A;lih-rih
ctc_probability;T11;L;9;0.012579409;A;lih-rih
ctc_probability;T11;L;10;1.29878945e-05;A;lih-rih
ctc_probability;T11;R;0;5.7248155e-05;A;lih-rih
ctc_probability;T11;R;1;0.0021234185;A;lih-rih
ctc_probability;T11;R;2;0.004074734;A;lih-rih
ctc_probability;T11;R;3;0.0011246358;A;lih-rih
