measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.09628832;A;lih-rih
ctc_probability;embeds;L;1;0.12047961;A;lih-rih
ctc_probability;embeds;L;2;0.17669573;A;lih-rih
ctc_probability;embeds;L;3;0.17054382;A;lih-rih
ctc_probability;embeds;L;4;0.13787241;A;lih-rih
ctc_probability;embeds;L;5;0.16924699;A;lih-rih
ctc_probability;embeds;L;6;0.16440238;A;lih-rih
ctc_probability;embeds;L;7;0.15108885;A;lih-rih
ctc_probability;embeds;L;8;0.2098296;A;lih-rih
ctc_probability;embeds;L;9;0.13560458;A;lih-rih
ctc_probability;embeds;L;10;0.12871487;A;lih-rih
ctc_probability;embeds;R;0;0.05020781;A;lih-rih
ctc_probability;embeds;R;1;0.04190439;A;lih-rih
ctc_probability;embeds;R;2;0.048081037;A;lih-rih
ctc_probability;embeds;R;3;0.06835607;A;lih-rih
ctc_probability;embeds;R;4;0.046915866;A;lih-rih
ctc_probability;embeds;R;5;0.045150563;A;lih-rih
ctc_probability;embeds;R;6;0.06356513;A;lih-rih
ctc_probability;embeds;R;7;0.060244147;A;lih-rih
ctc_probability;embeds;R;8;0.07138167;A;lih-rih
ctc_probability;embeds;R;9;0.067163914;A;lih-rih
ctc_probability;embeds;R;10;0.0896517;A;lih-rih
ctc_probability;T1;L;0;0.15804699;A;lih-rih
ctc_probability;T1;L;1;0.19561216;A;lih-rih
ctc_probability;T1;L;2;0.20525283;A;lih-rih
ctc_probability;T1;L;3;0.18548721;A;lih-rih
ctc_probability;T1;L;4;0.17694105;A;lih-rih
ctc_probability;T1;L;5;0.2182929;A;lih-rih
ctc_probability;T1;L;6;0.18601114;A;lih-rih
ctc_probability;T1;L;7;0.15963049;A;lih-rih
ctc_probability;T1;L;8;0.1948688;A;lih-rih
ctc_probability;T1;L;9;0.21273491;A;lih-rih
ctc_probability;T1;L;10;0.20726569;A;lih-rih
ctc_probability;T1;R;0;0.025804577;A;lih-rih
ctc_probability;T1;R;1;0.025508622;A;lih-rih
ctc_probability;T1;R;2;0.031512465;A;lih-rih
ctc_probability;T1;R;3;0.030993316;A;lih-rih
ctc_probability;T1;R;4;0.034652635;A;lih-rih
ctc_probability;T1;R;5;0.037908424;A;lih-rih
ctc_probability;T1;R;6;0.042078782;A;lih-rih
ctc_probability;T1;R;7;0.040054806;A;lih-rih
ctc_probability;T1;R;8;0.052733876;A;lih-rih
ctc_probability;T1;R;9;0.057937622;A;lih-rih
ctc_probability;T1;R;10;0.058323596;A;lih-rih
ctc_probability;T2;L;0;0.122001365;A;lih-rih
ctc_probability;T2;L;1;0.14979516;A;lih-rih
ctc_probability;T2;L;2;0.14021353;A;lih-rih
ctc_probability;T2;L;3;0.10933826;A;lih-rih
ctc_probability;T2;L;4;0.118413076;A;lih-rih
ctc_probability;T2;L;5;0.14437044;A;lih-rih
ctc_probability;T2;L;6;0.11549607;A;lih-rih
ctc_probability;T2;L;7;0.09078628;A;lih-rih
ctc_probability;T2;L;8;0.098100305;A;lih-rih
ctc_probability;T2;L;9;0.18193498;A;lih-rih
ctc_probability;T2;L;10;0.11305282;A;lih-rih
ctc_probability;T2;R;0;0.044708908;A;lih-rih
ctc_probability;T2;R;1;0.041495033;A;lih-rih
ctc_probability;T2;R;2;0.042770877;A;lih-rih
ctc_probability;T2;R;3;0.038864534;A;lih-rih
ctc_probability;T2;R;4;0.041094415;A;lih-rih
ctc_probability;T2;R;5;0.059281535;A;lih-rih
ctc_probability;T2;R;6;0.05352604;A;lih-rih
ctc_probability;T2;R;7;0.06789315;A;lih-rih
ctc_probability;T2;R;8;0.06270842;A;lih-rih
ctc_probability;T2;R;9;0.06175378;A;lih-rih
ctc_probability;T2;R;10;0.0919693;A;lih-rih
ctc_probability;T3;L;0;0.25398788;A;lih-rih
ctc_probability;T3;L;1;0.22935112;A;lih-rih
ctc_probability;T3;L;2;0.2916115;A;lih-rih
ctc_probability;T3;L;3;0.18739563;A;lih-rih
ctc_probability;T3;L;4;0.17854793;A;lih-rih
ctc_probability;T3;L;5;0.22084849;A;lih-rih
ctc_probability;T3;L;6;0.22457838;A;lih-rih
ctc_probability;T3;L;7;0.1681908;A;lih-rih
ctc_probability;T3;L;8;0.16991287;A;lih-rih
ctc_probability;T3;L;9;0.28998286;A;lih-rih
ctc_probability;T3;L;10;0.24780706;A;lih-rih
ctc_probability;T3;R;0;0.047246404;A;lih-rih
ctc_probability;T3;R;1;0.058887433;A;lih-rih
ctc_probability;T3;R;2;0.06040212;A;lih-rih
ctc_probability;T3;R;3;0.05971407;A;lih-rih
ctc_probability;T3;R;4;0.070434235;A;lih-rih
ctc_probability;T3;R;5;0.0807534;A;lih-rih
