measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.096160285;A;lih-rih
ctc_probability;embeds;L;1;0.11768034;A;lih-rih
ctc_probability;embeds;L;2;0.16581541;A;lih-rih
ctc_probability;embeds;L;3;0.17334877;A;lih-rih
ctc_probability;embeds;L;4;0.139603;A;lih-rih
ctc_probability;embeds;L;5;0.15862443;A;lih-rih
ctc_probability;embeds;L;6;0.16967702;A;lih-rih
ctc_probability;embeds;L;7;0.15535332;A;lih-rih
ctc_probability;embeds;L;8;0.22492614;A;lih-rih
ctc_probability;embeds;L;9;0.13357557;A;lih-rih
ctc_probability;embeds;L;10;0.13392608;A;lih-rih
ctc_probability;embeds;R;0;0.054840114;A;lih-rih
ctc_probability;embeds;R;1;0.0436733;A;lih-rih
ctc_probability;embeds;R;2;0.05292891;A;lih-rih
ctc_probability;embeds;R;3;0.07252104;A;lih-rih
ctc_probability;embeds;R;4;0.054247137;A;lih-rih
ctc_probability;embeds;R;5;0.043852005;A;lih-rih
ctc_probability;embeds;R;6;0.062229443;A;lih-rih
ctc_probability;embeds;R;7;0.054935224;A;lih-rih
ctc_probability;embeds;R;8;0.06281795;A;lih-rih
ctc_probability;embeds;R;9;0.05526164;A;lih-rih
ctc_probability;embeds;R;10;0.08686746;A;lih-rih
ctc_probability;T1;L;0;0.12203527;A;lih-rih
ctc_probability;T1;L;1;0.12171574;A;lih-rih
ctc_probability;T1;L;2;0.1103992;A;lih-rih
ctc_probability;T1;L;3;0.10875463;A;lih-rih
ctc_probability;T1;L;4;0.094946496;A;lih-rih
ctc_probability;T1;L;5;0.107303225;A;lih-rih
ctc_probability;T1;L;6;0.103429794;A;lih-rih
ctc_probability;T1;L;7;0.07123692;A;lih-rih
ctc_probability;T1;L;8;0.0839025;A;lih-rih
ctc_probability;T1;L;9;0.087059885;A;lih-rih
ctc_probability;T1;L;10;0.08259068;A;lih-rih
ctc_probability;T1;R;0;0.030012965;A;lih-rih
ctc_probability;T1;R;1;0.021749757;A;lih-rih
ctc_probability;T1;R;2;0.032039493;A;lih-rih
ctc_probability;T1;R;3;0.028502641;A;lih-rih
ctc_probability;T1;R;4;0.039901435;A;lih-rih
ctc_probability;T1;R;5;0.034668796;A;lih-rih
ctc_probability;T1;R;6;0.041154366;A;lih-rih
ctc_probability;T1;R;7;0.03911353;A;lih-rih
ctc_probability;T1;R;8;0.04118331;A;lih-rih
ctc_probability;T1;R;9;0.05348343;A;lih-rih
ctc_probability;T1;R;10;0.05545746;A;lih-rih
ctc_probability;T2;L;0;0.21346101;A;lih-rih
ctc_probability;T2;L;1;0.19953021;A;lih-rih
ctc_probability;T2;L;2;0.22496523;A;lih-rih
ctc_probability;T2;L;3;0.20619147;A;lih-rih
ctc_probability;T2;L;4;0.190669;A;lih-rih
ctc_probability;T2;L;5;0.17792861;A;lih-rih
ctc_probability;T2;L;6;0.16151811;A;lih-rih
ctc_probability;T2;L;7;0.1377124;A;lih-rih
ctc_probability;T2;L;8;0.13221112;A;lih-rih
ctc_probability;T2;L;9;0.18312411;A;lih-rih
ctc_probability;T2;L;10;0.16332468;A;lih-rih
ctc_probability;T2;R;0;0.03829807;A;lih-rih
ctc_probability;T2;R;1;0.03339516;A;lih-rih
ctc_probability;T2;R;2;0.03714233;A;lih-rih
ctc_probability;T2;R;3;0.037645463;A;lih-rih
ctc_probability;T2;R;4;0.04251863;A;lih-rih
ctc_probability;T2;R;5;0.04733772;A;lih-rih
ctc_probability;T2;R;6;0.061716676;A;lih-rih
ctc_probability;T2;R;7;0.059805326;A;lih-rih
ctc_probability;T2;R;8;0.056944706;A;lih-rih
ctc_probability;T2;R;9;0.07749247;A;lih-rih
ctc_probability;T2;R;10;0.10635549;A;lih-rih
ctc_probability;T3;L;0;0.31004214;A;lih-rih
ctc_probability;T3;L;1;0.2726918;A;lih-rih
ctc_probability;T3;L;2;0.3532729;A;lih-rih
ctc_probability;T3;L;3;0.2776185;A;lih-rih
ctc_probability;T3;L;4;0.2677236;A;lih-rih
ctc_probability;T3;L;5;0.27216685;A;lih-rih
ctc_probability;T3;L;6;0.30442867;A;lih-rih
ctc_probability;T3;L;7;0.2726224;A;lih-rih
ctc_probability;T3;L;8;0.2506807;A;lih-rih
ctc_probability;T3;L;9;0.35023022;A;lih-rih
ctc_probability;T3;L;10;0.296619;A;lih-rih
ctc_probability;T3;R;0;0.044946875;A;lih-rih
ctc_probability;T3;R;1;0.045048144;A;lih-rih
ctc_probability;T3;R;2;0.047668844;A;lih-rih
ctc_probability;T3;R;3;0.060970385;A;lih-rih
ctc_probability;T3;R;4;0.053988785;A;lih-rih
ctc_probability;T3;R;5;0.07522884;A;lih-rih
ctc_probability;T3;R;6;0.08848247;A;lih-rih
ctc_probability;T3;R;7;0.082570255;A;lih-rih
ctc_probability;T3;R;8;0.085287936;A;lih-rih
ctc_probability;T3;R;9;0.092930436;A;lih-rih
ctc_probability;T3;R;10;0.10777033;A;lih-rih
ctc_probability;T4;L;0;0.17675075;A;lih-rih
ctc_probability;T4;L;1;0.18484321;A;lih-rih
ctc_probability;T4;L;2;0.253434;A;lih-rih
ctc_probability;T4;L;3;0.20796618;A;lih-rih
ctc_probability;T4;L;4;0.19624688;A;lih-rih
ctc_probability;T4;L;5;0.23986597;A;lih-rih
ctc_probability;T4;L;6;0.23753165;A;lih-rih
ctc_probability;T4;L;7;0.23891126;A;lih-rih
ctc_probability;T4;L;8;0.2432495;A;lih-rih
ctc_probability;T4;L;9;0.34747493;A;lih-rih
ctc_probability;T4;L;10;0.24643236;A;lih-rih
ctc_probability;T4;R;0;0.025245307;A;lih-rih
ctc_probability;T4;R;1;0.03469006;A;lih-rih
ctc_probability;T4;R;2;0.038664944;A;lih-rih
ctc_probability;T4;R;3;0.025253154;A;lih-rih
ctc_probability;T4;R;4;0.032183833;A;lih-rih
ctc_probability;T4;R;5;0.040226996;A;lih-rih
ctc_probability;T4;R;6;0.03992771;A;lih-rih
ctc_probability;T4;R;7;0.041427862;A;lih-rih
ctc_probability;T4;R;8;0.06347058;A;lih-rih
ctc_probability;T4;R;9;0.070301354;A;lih-rih
ctc_probability;T4;R;10;0.07517919;A;lih-rih
ctc_probability;T5;L;0;0.2974906;A;lih-rih
ctc_probability;T5;L;1;0.29039884;A;lih-rih
ctc_probability;T5;L;2;0.3384099;A;lih-rih
ctc_probability;T5;L;3;0.2350127;A;lih-rih
ctc_probability;T5;L;4;0.2782766;A;lih-rih
ctc_probability;T5;L;5;0.25131223;A;lih-rih
ctc_probability;T5;L;6;0.23051105;A;lih-rih
ctc_probability;T5;L;7;0.20723876;A;lih-rih
ctc_probability;T5;L;8;0.23405984;A;lih-rih
ctc_probability;T5;L;9;0.2612799;A;lih-rih
ctc_probability;T5;L;10;0.25009415;A;lih-rih
ctc_probability;T5;R;0;0.025679616;A;lih-rih
ctc_probability;T5;R;1;0.027186831;A;lih-rih
ctc_probability;T5;R;2;0.03214869;A;lih-rih
ctc_probability;T5;R;3;0.03362077;A;lih-rih
ctc_probability;T5;R;4;0.041617777;A;lih-rih
ctc_probability;T5;R;5;0.04890937;A;lih-rih
ctc_probability;T5;R;6;0.07033649;A;lih-rih
ctc_probability;T5;R;7;0.051285107;A;lih-rih
ctc_probability;T5;R;8;0.065268666;A;lih-rih
ctc_probability;T5;R;9;0.06795456;A;lih-rih
ctc_probability;T5;R;10;0.07720264;A;lih-rih
ctc_probability;T6;L;0;0.23407716;A;lih-rih
ctc_probability;T6;L;1;0.20807412;A;lih-rih
ctc_probability;T6;L;2;0.22786115;A;lih-rih
ctc_probability;T6;L;3;0.18233478;A;lih-rih
ctc_probability;T6;L;4;0.21535586;A;lih-rih
ctc_probability;T6;L;5;0.23204198;A;lih-rih
ctc_probability;T6;L;6;0.15452261;A;lih-rih
ctc_probability;T6;L;7;0.14981215;A;lih-rih
ctc_probability;T6;L;8;0.18878177;A;lih-rih
ctc_probability;T6;L;9;0.18567052;A;lih-rih
ctc_probability;T6;L;10;0.16783153;A;lih-rih
ctc_probability;T6;R;0;0.041876957;A;lih-rih
ctc_probability;T6;R;1;0.038952902;A;lih-rih
ctc_probability;T6;R;2;0.047194608;A;lih-rih
ctc_probability;T6;R;3;0.05435578;A;lih-rih
ctc_probability;T6;R;4;0.046730116;A;lih-rih
ctc_probability;T6;R;5;0.061869394;A;lih-rih
ctc_probability;T6;R;6;0.06754772;A;lih-rih
ctc_probability;T6;R;7;0.064866856;A;lih-rih
ctc_probability;T6;R;8;0.080130674;A;lih-rih
ctc_probability;T6;R;9;0.09202868;A;lih-rih
ctc_probability;T6;R;10;0.12317532;A;lih-rih
ctc_probability;T7;L;0;0.21646541;A;lih-rih
ctc_probability;T7;L;1;0.18527599;A;lih-rih
ctc_probability;T7;L;2;0.22034946;A;lih-rih
ctc_probability;T7;L;3;0.19893569;A;lih-rih
ctc_probability;T7;L;4;0.21439;A;lih-rih
ctc_probability;T7;L;5;0.23052035;A;lih-rih
ctc_probability;T7;L;6;0.23862305;A;lih-rih
