measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;L;0;0.01618235;A;lih-rih
ctc_probability;embeds;L;1;0.048858557;A;lih-rih
ctc_probability;embeds;L;2;0.0034106867;A;lih-rih
ctc_probability;embeds;L;3;0.024945874;A;lih-rih
ctc_probability;embeds;L;4;0.019454896;A;lih-rih
ctc_probability;embeds;L;5;0.108312994;A;lih-rih
ctc_probability;embeds;L;6;0.0034244962;A;lih-rih
ctc_probability;embeds;L;7;0.024251517;A;lih-rih
ctc_probability;embeds;L;8;0.007237696;A;lih-rih
ctc_probability;embeds;L;9;0.042830646;A;lih-rih
ctc_probability;embeds;L;10;0.0072030914;A;lih-rih
ctc_probability;embeds;R;0;0.23170084;A;lih-rih
ctc_probability;embeds;R;1;0.1221046;A;lih-rih
ctc_probability;embeds;R;2;0.08378336;A;lih-rih
ctc_probability;embeds;R;3;0.17961738;A;lih-rih
ctc_probability;embeds;R;4;0.021329856;A;lih-rih
ctc_probability;embeds;R;5;0.07678808;A;lih-rih
ctc_probability;embeds;R;6;0.035130557;A;lih-rih
ctc_probability;embeds;R;7;0.1835121;A;lih-rih
ctc_probability;embeds;R;8;0.07267262;A;lih-rih
ctc_probability;embeds;R;9;0.066100106;A;lih-rih
ctc_probability;embeds;R;10;0.30212817;A;lih-rih
ctc_probability;T1;L;0;0.025545383;A;lih-rih
ctc_probability;T1;L;1;0.10560909;A;lih-rih
ctc_probability;T1;L;2;0.0069693006;A;lih-rih
ctc_probability;T1;L;3;0.020593258;A;lih-rih
ctc_probability;T1;L;4;0.0466536;A;lih-rih
ctc_probability;T1;L;5;0.05057598;A;lih-rih
ctc_probability;T1;L;6;0.009124905;A;lih-rih
ctc_probability;T1;L;7;0.013617743;A;lih-rih
ctc_probability;T1;L;8;0.080831856;A;lih-rih
ctc_probability;T1;L;9;0.027479703;A;lih-rih
ctc_probability;T1;L;10;0.009864269;A;lih-rih
ctc_probability;T1;R;0;0.24448383;A;lih-rih
ctc_probability;T1;R;1;0.19125186;A;lih-rih
ctc_probability;T1;R;2;0.08583702;A;lih-rih
ctc_probability;T1;R;3;0.22983576;A;lih-rih
ctc_probability;T1;R;4;0.07126607;A;lih-rih
ctc_probability;T1;R;5;0.0975579;A;lih-rih
ctc_probability;T1;R;6;0.04956714;A;lih-rih
ctc_probability;T1;R;7;0.22970644;A;lih-rih
ctc_probability;T1;R;8;0.05262158;A;lih-rih
ctc_probability;T1;R;9;0.039078683;A;lih-rih
ctc_probability;T1;R;10;0.26140267;A;lih-rih
ctc_probability;T2;L;0;0.05199578;A;lih-rih
ctc_probability;T2;L;1;0.11998722;A;lih-rih
ctc_probability;T2;L;2;0.038335375;A;lih-rih
ctc_probability;T2;L;3;0.020621855;A;lih-rih
ctc_probability;T2;L;4;0.09284009;A;lih-rih
ctc_probability;T2;L;5;0.13164239;A;lih-rih
ctc_probability;T2;L;6;0.017677493;A;lih-rih
ctc_probability;T2;L;7;0.032099552;A;lih-rih
ctc_probability;T2;L;8;0.13334596;A;lih-rih
ctc_probability;T2;L;9;0.035317462;A;lih-rih
