measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.544881485530692;A;lih-rih
embedding_similarity;CNN;L;2;0.25627311133596375;A;lih-rih
embedding_similarity;CNN;L;3;0.5809023416981036;A;lih-rih
embedding_similarity;CNN;L;4;0.7163799066388685;A;lih-rih
embedding_similarity;CNN;L;5;0.307717821454194;A;lih-rih
embedding_similarity;CNN;L;6;0.12425527570417028;A;lih-rih
embedding_similarity;CNN;L;7;0.434969579130426;A;lih-rih
embedding_similarity;CNN;L;8;0.5831264359067425;A;lih-rih
embedding_similarity;CNN;L;9;0.3463652859650206;A;lih-rih
embedding_similarity;CNN;L;10;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.45511851446930796;A;lih-rih
embedding_similarity;CNN;R;2;0.7437268886640362;A;lih-rih
embedding_similarity;CNN;R;3;0.4190976583018964;A;lih-rih
embedding_similarity;CNN;R;4;0.2836200933611315;A;lih-rih
embedding_similarity;CNN;R;5;0.692282178545806;A;lih-rih
embedding_similarity;CNN;R;6;0.8757447242958297;A;lih-rih
embedding_similarity;CNN;R;7;0.565030420869574;A;lih-rih
embedding_similarity;CNN;R;8;0.4168735640932575;A;lih-rih
embedding_similarity;CNN;R;9;0.6536347140349794;A;lih-rih
embedding_similarity;CNN;R;10;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.5931718120202648;A;lih-rih
embedding_similarity;embeds;L;2;0.3887644465787021;A;lih-rih
embedding_similarity;embeds;L;3;0.6407677860330784;A;lih-rih
embedding_similarity;embeds;L;4;0.7114150855058214;A;lih-rih
embedding_similarity;embeds;L;5;0.33255518991721233;A;lih-rih
embedding_similarity;embeds;L;6;0.16086323223286803;A;lih-rih
embedding_similarity;embeds;L;7;0.4301574563722429;A;lih-rih
embedding_similarity;embeds;L;8;0.5332857402679246;A;lih-rih
embedding_similarity;embeds;L;9;0.2809836447658475;A;lih-rih
embedding_similarity;embeds;L;10;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.4068281879797352;A;lih-rih
embedding_similarity;embeds;R;2;0.6112355534212979;A;lih-rih
embedding_similarity;embeds;R;3;0.3592322139669216;A;lih-rih
embedding_similarity;embeds;R;4;0.28858491449417867;A;lih-rih
embedding_similarity;embeds;R;5;0.6674448100827877;A;lih-rih
embedding_similarity;embeds;R;6;0.839136767767132;A;lih-rih
embedding_similarity;embeds;R;7;0.5698425436277571;A;lih-rih
embedding_similarity;embeds;R;8;0.46671425973207536;A;lih-rih
embedding_similarity;embeds;R;9;0.7190163552341524;A;lih-rih
embedding_similarity;embeds;R;10;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.6170016954371428;A;lih-rih
embedding_similarity;T1;L;2;0.43856897331554323;A;lih-rih
embedding_similarity;T1;L;3;0.5553347645316541;A;lih-rih
embedding_similarity;T1;L;4;0.6538565702698942;A;lih-rih
embedding_similarity;T1;L;5;0.3923248994556304;A;lih-rih
embedding_similarity;T1;L;6;0.21872220416413657;A;lih-rih
embedding_similarity;T1;L;7;0.3832726168001974;A;lih-rih
embedding_similarity;T1;L;8;0.47530190809954653;A;lih-rih
embedding_similarity;T1;L;9;0.30138051301850355;A;lih-rih
embedding_similarity;T1;L;10;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.3829983045628572;A;lih-rih
embedding_similarity;T1;R;2;0.5614310266844568;A;lih-rih
embedding_similarity;T1;R;3;0.4446652354683459;A;lih-rih
embedding_similarity;T1;R;4;0.3461434297301058;A;lih-rih
embedding_similarity;T1;R;5;0.6076751005443695;A;lih-rih
embedding_similarity;T1;R;6;0.7812777958358634;A;lih-rih
embedding_similarity;T1;R;7;0.6167273831998026;A;lih-rih
embedding_similarity;T1;R;8;0.5246980919004535;A;lih-rih
embedding_similarity;T1;R;9;0.6986194869814963;A;lih-rih
embedding_similarity;T1;R;10;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.6071791127113144;A;lih-rih
embedding_similarity;T2;L;2;0.43556580479606277;A;lih-rih
embedding_similarity;T2;L;3;0.5156466627546796;A;lih-rih
embedding_similarity;T2;L;4;0.5842234319022414;A;lih-rih
embedding_similarity;T2;L;5;0.3769335631365811;A;lih-rih
embedding_similarity;T2;L;6;0.22939746929191074;A;lih-rih
embedding_similarity;T2;L;7;0.35590479970446454;A;lih-rih
embedding_similarity;T2;L;8;0.4147579577069296;A;lih-rih
embedding_similarity;T2;L;9;0.3182572764456215;A;lih-rih
embedding_similarity;T2;L;10;0.0;A;lih-rih
embedding_similarity;T2;R;0;0.0;A;lih-rih
embedding_similarity;T2;R;1;0.39282088728868547;A;lih-rih
embedding_similarity;T2;R;2;0.5644341952039372;A;lih-rih
embedding_similarity;T2;R;3;0.48435333724532037;A;lih-rih
embedding_similarity;T2;R;4;0.41577656809775865;A;lih-rih
embedding_similarity;T2;R;5;0.6230664368634189;A;lih-rih
embedding_similarity;T2;R;6;0.7706025307080893;A;lih-rih
embedding_similarity;T2;R;7;0.6440952002955354;A;lih-rih
embedding_similarity;T2;R;8;0.5852420422930704;A;lih-rih
embedding_similarity;T2;R;9;0.6817427235543785;A;lih-rih
embedding_similarity;T2;R;10;1.0;A;lih-rih
embedding_similarity;T3;L;0;1.0;A;lih-rih
embedding_similarity;T3;L;1;0.6566756593214054;A;lih-rih
embedding_similarity;T3;L;2;0.45129481037724595;A;lih-rih
embedding_similarity;T3;L;3;0.5400376153205341;A;lih-rih
embedding_similarity;T3;L;4;0.6174216924456937;A;lih-rih
embedding_similarity;T3;L;5;0.4120658276580671;A;lih-rih
embedding_similarity;T3;L;6;0.24650620070539042;A;lih-rih
embedding_similarity;T3;L;7;0.37156059083158266;A;lih-rih
embedding_similarity;T3;L;8;0.44052723796513393;A;lih-rih
embedding_similarity;T3;L;9;0.3363860794449609;A;lih-rih
embedding_similarity;T3;L;10;0.0;A;lih-rih
embedding_similarity;T3;R;0;0.0;A;lih-rih
embedding_similarity;T3;R;1;0.34332434067859463;A;lih-rih
embedding_similarity;T3;R;2;0.5487051896227539;A;lih-rih
embedding_similarity;T3;R;3;0.45996238467946593;A;lih-rih
embedding_similarity;T3;R;4;0.38257830755430633;A;lih-rih
embedding_similarity;T3;R;5;0.5879341723419329;A;lih-rih
embedding_similarity;T3;R;6;0.7534937992946096;A;lih-rih
embedding_similarity;T3;R;7;0.6284394091684173;A;lih-rih
embedding_similarity;T3;R;8;0.5594727620348661;A;lih-rih
embedding_similarity;T3;R;9;0.6636139205550391;A;lih-rih
embedding_similarity;T3;R;10;1.0;A;lih-rih
embedding_similarity;T4;L;0;1.0;A;lih-rih
embedding_similarity;T4;L;1;0.6540222023002393;A;lih-rih
embedding_similarity;T4;L;2;0.4623044337101797;A;lih-rih
embedding_similarity;T4;L;3;0.5464274544221304;A;lih-rih
embedding_similarity;T4;L;4;0.6224758670696313;A;lih-rih
embedding_similarity;T4;L;5;0.39956629527081755;A;lih-rih
