measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.8936469330754562;A;lih-rih
embedding_similarity;CNN;L;2;0.8639096899536751;A;lih-rih
embedding_similarity;CNN;L;3;0.7492042742811342;A;lih-rih
embedding_similarity;CNN;L;4;0.6392402473041812;A;lih-rih
embedding_similarity;CNN;L;5;0.47457868844807405;A;lih-rih
embedding_similarity;CNN;L;6;0.3252293830394123;A;lih-rih
embedding_similarity;CNN;L;7;0.24314272443726215;A;lih-rih
embedding_similarity;CNN;L;8;0.20478430085835486;A;lih-rih
embedding_similarity;CNN;L;9;0.14539956082033778;A;lih-rih
embedding_similarity;CNN;L;10;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.10635306692454383;A;lih-rih
embedding_similarity;CNN;R;2;0.13609031004632488;A;lih-rih
embedding_similarity;CNN;R;3;0.25079572571886577;A;lih-rih
embedding_similarity;CNN;R;4;0.3607597526958187;A;lih-rih
embedding_similarity;CNN;R;5;0.525421311551926;A;lih-rih
embedding_similarity;CNN;R;6;0.6747706169605877;A;lih-rih
embedding_similarity;CNN;R;7;0.7568572755627379;A;lih-rih
embedding_similarity;CNN;R;8;0.7952156991416451;A;lih-rih
embedding_similarity;CNN;R;9;0.8546004391796622;A;lih-rih
embedding_similarity;CNN;R;10;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.9154405955668405;A;lih-rih
embedding_similarity;embeds;L;2;0.8753570554328701;A;lih-rih
embedding_similarity;embeds;L;3;0.7716714783286563;A;lih-rih
embedding_similarity;embeds;L;4;0.6529824283130663;A;lih-rih
embedding_similarity;embeds;L;5;0.4825839433678013;A;lih-rih
embedding_similarity;embeds;L;6;0.3593112845640659;A;lih-rih
embedding_similarity;embeds;L;7;0.25528376839260325;A;lih-rih
embedding_similarity;embeds;L;8;0.19954123605904972;A;lih-rih
embedding_similarity;embeds;L;9;0.1237267180981726;A;lih-rih
embedding_similarity;embeds;L;10;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.08455940443315957;A;lih-rih
embedding_similarity;embeds;R;2;0.12464294456712988;A;lih-rih
embedding_similarity;embeds;R;3;0.22832852167134365;A;lih-rih
embedding_similarity;embeds;R;4;0.3470175716869338;A;lih-rih
embedding_similarity;embeds;R;5;0.5174160566321988;A;lih-rih
embedding_similarity;embeds;R;6;0.6406887154359341;A;lih-rih
embedding_similarity;embeds;R;7;0.7447162316073968;A;lih-rih
embedding_similarity;embeds;R;8;0.8004587639409503;A;lih-rih
embedding_similarity;embeds;R;9;0.8762732819018274;A;lih-rih
embedding_similarity;embeds;R;10;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.8531658892383701;A;lih-rih
embedding_similarity;T1;L;2;0.7993338882543021;A;lih-rih
embedding_similarity;T1;L;3;0.7088044186275266;A;lih-rih
