measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.9420996296453408;A;lih-rih
embedding_similarity;CNN;L;2;0.9110388504157243;A;lih-rih
embedding_similarity;CNN;L;3;0.8318333691585211;A;lih-rih
embedding_similarity;CNN;L;4;0.7148173169618044;A;lih-rih
embedding_similarity;CNN;L;5;0.5400895310184504;A;lih-rih
embedding_similarity;CNN;L;6;0.35160260341551774;A;lih-rih
embedding_similarity;CNN;L;7;0.20001853849357965;A;lih-rih
embedding_similarity;CNN;L;8;0.17223774617114673;A;lih-rih
embedding_similarity;CNN;L;9;0.0745782082206623;A;lih-rih
embedding_similarity;CNN;L;10;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.057900370354659225;A;lih-rih
embedding_similarity;CNN;R;2;0.0889611495842757;A;lih-rih
embedding_similarity;CNN;R;3;0.16816663084147887;A;lih-rih
embedding_similarity;CNN;R;4;0.2851826830381956;A;lih-rih
embedding_similarity;CNN;R;5;0.4599104689815495;A;lih-rih
embedding_similarity;CNN;R;6;0.6483973965844823;A;lih-rih
embedding_similarity;CNN;R;7;0.7999814615064204;A;lih-rih
embedding_similarity;CNN;R;8;0.8277622538288533;A;lih-rih
embedding_similarity;CNN;R;9;0.9254217917793377;A;lih-rih
embedding_similarity;CNN;R;10;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.9103471665978867;A;lih-rih
embedding_similarity;embeds;L;2;0.8571255348690591;A;lih-rih
embedding_similarity;embeds;L;3;0.7943792441174502;A;lih-rih
embedding_similarity;embeds;L;4;0.6715189579040224;A;lih-rih
embedding_similarity;embeds;L;5;0.4545826132687849;A;lih-rih
embedding_similarity;embeds;L;6;0.3255581128713344;A;lih-rih
embedding_similarity;embeds;L;7;0.23899517204460408;A;lih-rih
embedding_similarity;embeds;L;8;0.2014141225388255;A;lih-rih
embedding_similarity;embeds;L;9;0.10708555408181852;A;lih-rih
embedding_similarity;embeds;L;10;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.08965283340211327;A;lih-rih
embedding_similarity;embeds;R;2;0.14287446513094093;A;lih-rih
embedding_similarity;embeds;R;3;0.2056207558825498;A;lih-rih
embedding_similarity;embeds;R;4;0.3284810420959776;A;lih-rih
embedding_similarity;embeds;R;5;0.5454173867312151;A;lih-rih
embedding_similarity;embeds;R;6;0.6744418871286657;A;lih-rih
embedding_similarity;embeds;R;7;0.761004827955396;A;lih-rih
embedding_similarity;embeds;R;8;0.7985858774611745;A;lih-rih
embedding_similarity;embeds;R;9;0.8929144459181815;A;lih-rih
embedding_similarity;embeds;R;10;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.8623959918531767;A;lih-rih
embedding_similarity;T1;L;2;0.8061540094068629;A;lih-rih
embedding_similarity;T1;L;3;0.7410187649336466;A;lih-rih
embedding_similarity;T1;L;4;0.6257511277557719;A;lih-rih
embedding_similarity;T1;L;5;0.46974771559583595;A;lih-rih
embedding_similarity;T1;L;6;0.31809962612964093;A;lih-rih
embedding_similarity;T1;L;7;0.21828861238918884;A;lih-rih
embedding_similarity;T1;L;8;0.21362324812851685;A;lih-rih
embedding_similarity;T1;L;9;0.12599752649206852;A;lih-rih
embedding_similarity;T1;L;10;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.13760400814682328;A;lih-rih
embedding_similarity;T1;R;2;0.19384599059313712;A;lih-rih
embedding_similarity;T1;R;3;0.2589812350663534;A;lih-rih
embedding_similarity;T1;R;4;0.3742488722442281;A;lih-rih
embedding_similarity;T1;R;5;0.5302522844041639;A;lih-rih
embedding_similarity;T1;R;6;0.6819003738703591;A;lih-rih
embedding_similarity;T1;R;7;0.7817113876108112;A;lih-rih
embedding_similarity;T1;R;8;0.7863767518714833;A;lih-rih
embedding_similarity;T1;R;9;0.8740024735079315;A;lih-rih
embedding_similarity;T1;R;10;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.8505999236467474;A;lih-rih
embedding_similarity;T2;L;2;0.7905087436655664;A;lih-rih
