measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.9420996296453408;A;lih-rih
embedding_similarity;CNN;L;2;0.9110388504157243;A;lih-rih
embedding_similarity;CNN;L;3;0.8318333691585211;A;lih-rih
embedding_similarity;CNN;L;4;0.7148173169618044;A;lih-rih
embedding_similarity;CNN;L;5;0.5400895310184504;A;lih-rih
embedding_similarity;CNN;L;6;0.35160260341551774;A;lih-rih
embedding_similarity;CNN;L;7;0.20001853849357965;A;lih-rih
embedding_similarity;CNN;L;8;0.17223774617114673;A;lih-rih
embedding_similarity;CNN;L;9;0.0745782082206623;A;lih-rih
embedding_similarity;CNN;L;10;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.057900370354659225;A;lih-rih
embedding_similarity;CNN;R;2;0.0889611495842757;A;lih-rih
embedding_similarity;CNN;R;3;0.16816663084147887;A;lih-rih
embedding_similarity;CNN;R;4;0.2851826830381956;A;lih-rih
embedding_similarity;CNN;R;5;0.4599104689815495;A;lih-rih
embedding_similarity;CNN;R;6;0.6483973965844823;A;lih-rih
embedding_similarity;CNN;R;7;0.7999814615064204;A;lih-rih
embedding_similarity;CNN;R;8;0.8277622538288533;A;lih-rih
embedding_similarity;CNN;R;9;0.9254217917793377;A;lih-rih
embedding_similarity;CNN;R;10;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.9038535480465375;A;lih-rih
embedding_similarity;embeds;L;2;0.8450309528758572;A;lih-rih
embedding_similarity;embeds;L;3;0.7860264817654584;A;lih-rih
embedding_similarity;embeds;L;4;0.6706108947798817;A;lih-rih
embedding_similarity;embeds;L;5;0.45061534204796105;A;lih-rih
embedding_similarity;embeds;L;6;0.3207846193231634;A;lih-rih
embedding_similarity;embeds;L;7;0.24612563452834568;A;lih-rih
embedding_similarity;embeds;L;8;0.20775014901524147;A;lih-rih
embedding_similarity;embeds;L;9;0.11316968642719905;A;lih-rih
embedding_similarity;embeds;L;10;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.0961464519534625;A;lih-rih
embedding_similarity;embeds;R;2;0.15496904712414283;A;lih-rih
embedding_similarity;embeds;R;3;0.21397351823454158;A;lih-rih
embedding_similarity;embeds;R;4;0.32938910522011833;A;lih-rih
embedding_similarity;embeds;R;5;0.549384657952039;A;lih-rih
embedding_similarity;embeds;R;6;0.6792153806768366;A;lih-rih
embedding_similarity;embeds;R;7;0.7538743654716544;A;lih-rih
embedding_similarity;embeds;R;8;0.7922498509847584;A;lih-rih
embedding_similarity;embeds;R;9;0.886830313572801;A;lih-rih
embedding_similarity;embeds;R;10;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.8588001458898897;A;lih-rih
embedding_similarity;T1;L;2;0.804341443612536;A;lih-rih
embedding_similarity;T1;L;3;0.7208357382897498;A;lih-rih
embedding_similarity;T1;L;4;0.6335835560057328;A;lih-rih
embedding_similarity;T1;L;5;0.49231921834143244;A;lih-rih
embedding_similarity;T1;L;6;0.3318652238489487;A;lih-rih
embedding_similarity;T1;L;7;0.21679635670622477;A;lih-rih
embedding_similarity;T1;L;8;0.21364816905896145;A;lih-rih
embedding_similarity;T1;L;9;0.13664303950673018;A;lih-rih
embedding_similarity;T1;L;10;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.14119985411011016;A;lih-rih
embedding_similarity;T1;R;2;0.195658556387464;A;lih-rih
embedding_similarity;T1;R;3;0.2791642617102502;A;lih-rih
embedding_similarity;T1;R;4;0.3664164439942673;A;lih-rih
embedding_similarity;T1;R;5;0.5076807816585676;A;lih-rih
embedding_similarity;T1;R;6;0.6681347761510513;A;lih-rih
embedding_similarity;T1;R;7;0.7832036432937752;A;lih-rih
embedding_similarity;T1;R;8;0.7863518309410386;A;lih-rih
embedding_similarity;T1;R;9;0.8633569604932698;A;lih-rih
embedding_similarity;T1;R;10;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.8347453946822722;A;lih-rih
embedding_similarity;T2;L;2;0.7734192389324344;A;lih-rih
