measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.6027997249594317;A;lih-rih
embedding_similarity;CNN;L;2;0.6169863988893398;A;lih-rih
embedding_similarity;CNN;L;3;0.7062105042637513;A;lih-rih
embedding_similarity;CNN;L;4;0.5298901363621169;A;lih-rih
embedding_similarity;CNN;L;5;0.5847744057810325;A;lih-rih
embedding_similarity;CNN;L;6;0.5455777293203099;A;lih-rih
embedding_similarity;CNN;L;7;0.5722860591344425;A;lih-rih
embedding_similarity;CNN;L;8;0.5460388238462573;A;lih-rih
embedding_similarity;CNN;L;9;0.5591971777834635;A;lih-rih
embedding_similarity;CNN;L;10;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.3972002750405683;A;lih-rih
embedding_similarity;CNN;R;2;0.3830136011106602;A;lih-rih
embedding_similarity;CNN;R;3;0.2937894957362487;A;lih-rih
embedding_similarity;CNN;R;4;0.4701098636378831;A;lih-rih
embedding_similarity;CNN;R;5;0.41522559421896754;A;lih-rih
embedding_similarity;CNN;R;6;0.4544222706796901;A;lih-rih
embedding_similarity;CNN;R;7;0.42771394086555736;A;lih-rih
embedding_similarity;CNN;R;8;0.45396117615374265;A;lih-rih
embedding_similarity;CNN;R;9;0.44080282221653655;A;lih-rih
embedding_similarity;CNN;R;10;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.529044729734516;A;lih-rih
embedding_similarity;embeds;L;2;0.3967744656054093;A;lih-rih
embedding_similarity;embeds;L;3;0.5581748535657417;A;lih-rih
embedding_similarity;embeds;L;4;0.7072281504632361;A;lih-rih
embedding_similarity;embeds;L;5;0.5751834544361489;A;lih-rih
embedding_similarity;embeds;L;6;0.3249222251420314;A;lih-rih
embedding_similarity;embeds;L;7;0.5927084369552783;A;lih-rih
embedding_similarity;embeds;L;8;0.7399934083606552;A;lih-rih
embedding_similarity;embeds;L;9;0.5851480593879237;A;lih-rih
embedding_similarity;embeds;L;10;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.470955270265484;A;lih-rih
embedding_similarity;embeds;R;2;0.6032255343945907;A;lih-rih
embedding_similarity;embeds;R;3;0.4418251464342583;A;lih-rih
embedding_similarity;embeds;R;4;0.29277184953676394;A;lih-rih
embedding_similarity;embeds;R;5;0.42481654556385107;A;lih-rih
embedding_similarity;embeds;R;6;0.6750777748579686;A;lih-rih
embedding_similarity;embeds;R;7;0.4072915630447217;A;lih-rih
embedding_similarity;embeds;R;8;0.2600065916393448;A;lih-rih
embedding_similarity;embeds;R;9;0.4148519406120762;A;lih-rih
embedding_similarity;embeds;R;10;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.5245759438894084;A;lih-rih
embedding_similarity;T1;L;2;0.3916666640410319;A;lih-rih
embedding_similarity;T1;L;3;0.549389326621462;A;lih-rih
embedding_similarity;T1;L;4;0.6968311694664349;A;lih-rih
embedding_similarity;T1;L;5;0.5698517560450407;A;lih-rih
embedding_similarity;T1;L;6;0.3195034790341972;A;lih-rih
embedding_similarity;T1;L;7;0.5784727307860813;A;lih-rih
embedding_similarity;T1;L;8;0.7094906689052066;A;lih-rih
embedding_similarity;T1;L;9;0.556905825663436;A;lih-rih
embedding_similarity;T1;L;10;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
