measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.41928376934992606;A;lih-rih
probe_probability;CNN;L;1;0.42870340280855523;A;lih-rih
probe_probability;CNN;L;2;0.39896820824053714;A;lih-rih
probe_probability;CNN;L;3;0.3108067607210755;A;lih-rih
probe_probability;CNN;L;4;0.28125415900154116;A;lih-rih
probe_probability;CNN;L;5;0.30648636864631473;A;lih-rih
probe_probability;CNN;L;6;0.2815844854357966;A;lih-rih
probe_probability;CNN;L;7;0.27871930463159866;A;lih-rih
probe_probability;CNN;L;8;0.25512192511380294;A;lih-rih
probe_probability;CNN;L;9;0.29834955254354767;A;lih-rih
probe_probability;CNN;L;10;0.297896105861837;A;lih-rih
probe_probability;CNN;R;0;0.5807162306500739;A;lih-rih
probe_probability;CNN;R;1;0.5712965971914448;A;lih-rih
probe_probability;CNN;R;2;0.6010317917594629;A;lih-rih
probe_probability;CNN;R;3;0.6891932392789245;A;lih-rih
probe_probability;CNN;R;4;0.7187458409984588;A;lih-rih
probe_probability;CNN;R;5;0.6935136313536853;A;lih-rih
probe_probability;CNN;R;6;0.7184155145642034;A;lih-rih
probe_probability;CNN;R;7;0.7212806953684013;A;lih-rih
probe_probability;CNN;R;8;0.7448780748861971;A;lih-rih
probe_probability;CNN;R;9;0.7016504474564523;A;lih-rih
probe_probability;CNN;R;10;0.702103894138163;A;lih-rih
probe_probability;embeds;L;0;0.08345267486641095;A;lih-rih
probe_probability;embeds;L;1;0.0477581446275096;A;lih-rih
probe_probability;embeds;L;2;0.049830779924028845;A;lih-rih
probe_probability;embeds;L;3;0.012047762177118337;A;lih-rih
probe_probability;embeds;L;4;0.001777645168583919;A;lih-rih
probe_probability;embeds;L;5;0.00356319940187122;A;lih-rih
probe_probability;embeds;L;6;0.0039333346434373695;A;lih-rih
probe_probability;embeds;L;7;0.0014711743669442168;A;lih-rih
probe_probability;embeds;L;8;0.0007598393242115309;A;lih-rih
probe_probability;embeds;L;9;0.0013579039411575344;A;lih-rih
probe_probability;embeds;L;10;0.000762262088494503;A;lih-rih
probe_probability;embeds;R;0;0.916547325133589;A;lih-rih
probe_probability;embeds;R;1;0.9522418553724904;A;lih-rih
probe_probability;embeds;R;2;0.9501692200759712;A;lih-rih
probe_probability;embeds;R;3;0.9879522378228817;A;lih-rih
probe_probability;embeds;R;4;0.9982223548314161;A;lih-rih
probe_probability;embeds;R;5;0.9964368005981288;A;lih-rih
probe_probability;embeds;R;6;0.9960666653565626;A;lih-rih
probe_probability;embeds;R;7;0.9985288256330558;A;lih-rih
