measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.8717091912774869;A;lih-rih
probe_probability;CNN;L;1;0.8380110263594767;A;lih-rih
probe_probability;CNN;L;2;0.8583928822571928;A;lih-rih
probe_probability;CNN;L;3;0.7798618441913157;A;lih-rih
probe_probability;CNN;L;4;0.7074546698275099;A;lih-rih
probe_probability;CNN;L;5;0.6636103649210259;A;lih-rih
probe_probability;CNN;L;6;0.5613472744213299;A;lih-rih
probe_probability;CNN;L;7;0.4937207177887123;A;lih-rih
probe_probability;CNN;L;8;0.44958914125677574;A;lih-rih
probe_probability;CNN;L;9;0.4301069020303455;A;lih-rih
probe_probability;CNN;L;10;0.29078287832032634;A;lih-rih
probe_probability;CNN;R;0;0.12829080872251308;A;lih-rih
probe_probability;CNN;R;1;0.16198897364052328;A;lih-rih
probe_probability;CNN;R;2;0.1416071177428072;A;lih-rih
probe_probability;CNN;R;3;0.22013815580868437;A;lih-rih
probe_probability;CNN;R;4;0.2925453301724901;A;lih-rih
probe_probability;CNN;R;5;0.3363896350789741;A;lih-rih
probe_probability;CNN;R;6;0.43865272557867013;A;lih-rih
probe_probability;CNN;R;7;0.5062792822112877;A;lih-rih
probe_probability;CNN;R;8;0.5504108587432243;A;lih-rih
probe_probability;CNN;R;9;0.5698930979696545;A;lih-rih
probe_probability;CNN;R;10;0.7092171216796737;A;lih-rih
probe_probability;embeds;L;0;0.9937590692879572;A;lih-rih
probe_probability;embeds;L;1;0.9858326168467103;A;lih-rih
probe_probability;embeds;L;2;0.9868969031975051;A;lih-rih
probe_probability;embeds;L;3;0.9209391048567922;A;lih-rih
probe_probability;embeds;L;4;0.772622376196946;A;lih-rih
probe_probability;embeds;L;5;0.5845100091794005;A;lih-rih
probe_probability;embeds;L;6;0.15261190559630178;A;lih-rih
probe_probability;embeds;L;7;0.0858848912955561;A;lih-rih
probe_probability;embeds;L;8;0.06212537933211704;A;lih-rih
probe_probability;embeds;L;9;0.028149611882156145;A;lih-rih
probe_probability;embeds;L;10;0.002423114670761728;A;lih-rih
probe_probability;embeds;R;0;0.006240930712042738;A;lih-rih
probe_probability;embeds;R;1;0.014167383153289638;A;lih-rih
probe_probability;embeds;R;2;0.013103096802494864;A;lih-rih
probe_probability;embeds;R;3;0.07906089514320784;A;lih-rih
probe_probability;embeds;R;4;0.227377623803054;A;lih-rih
probe_probability;embeds;R;5;0.41548999082059945;A;lih-rih
probe_probability;embeds;R;6;0.8473880944036982;A;lih-rih
probe_probability;embeds;R;7;0.9141151087044439;A;lih-rih
probe_probability;embeds;R;8;0.937874620667883;A;lih-rih
probe_probability;embeds;R;9;0.9718503881178439;A;lih-rih
probe_probability;embeds;R;10;0.9975768853292383;A;lih-rih
probe_probability;T1;L;0;0.5413227862266563;A;lih-rih
probe_probability;T1;L;1;0.45729994371579896;A;lih-rih
probe_probability;T1;L;2;0.36399009052125575;A;lih-rih
probe_probability;T1;L;3;0.20708944606917323;A;lih-rih
probe_probability;T1;L;4;0.07057948537628245;A;lih-rih
probe_probability;T1;L;5;0.09143663045204842;A;lih-rih
probe_probability;T1;L;6;0.01741498589555779;A;lih-rih
probe_probability;T1;L;7;0.008034335226789424;A;lih-rih
probe_probability;T1;L;8;0.006259705772914459;A;lih-rih
probe_probability;T1;L;9;0.006245682643203909;A;lih-rih
probe_probability;T1;L;10;0.00153934434695302;A;lih-rih
probe_probability;T1;R;0;0.4586772137733437;A;lih-rih
probe_probability;T1;R;1;0.542700056284201;A;lih-rih
probe_probability;T1;R;2;0.6360099094787443;A;lih-rih
probe_probability;T1;R;3;0.7929105539308268;A;lih-rih
probe_probability;T1;R;4;0.9294205146237176;A;lih-rih
probe_probability;T1;R;5;0.9085633695479516;A;lih-rih
probe_probability;T1;R;6;0.9825850141044422;A;lih-rih
probe_probability;T1;R;7;0.9919656647732106;A;lih-rih
probe_probability;T1;R;8;0.9937402942270855;A;lih-rih
probe_probability;T1;R;9;0.9937543173567961;A;lih-rih
probe_probability;T1;R;10;0.998460655653047;A;lih-rih
