measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.885941557252229;A;lih-rih
probe_probability;CNN;L;1;0.8786525540446192;A;lih-rih
probe_probability;CNN;L;2;0.8586423317595244;A;lih-rih
probe_probability;CNN;L;3;0.7943909724548712;A;lih-rih
probe_probability;CNN;L;4;0.7217194634640465;A;lih-rih
probe_probability;CNN;L;5;0.6662781698568132;A;lih-rih
probe_probability;CNN;L;6;0.5612187788675062;A;lih-rih
probe_probability;CNN;L;7;0.4572226178140443;A;lih-rih
probe_probability;CNN;L;8;0.43615674154331685;A;lih-rih
probe_probability;CNN;L;9;0.3669936194011605;A;lih-rih
probe_probability;CNN;L;10;0.2754930904147501;A;lih-rih
probe_probability;CNN;R;0;0.11405844274777104;A;lih-rih
probe_probability;CNN;R;1;0.12134744595538079;A;lih-rih
probe_probability;CNN;R;2;0.14135766824047563;A;lih-rih
probe_probability;CNN;R;3;0.20560902754512875;A;lih-rih
probe_probability;CNN;R;4;0.27828053653595347;A;lih-rih
probe_probability;CNN;R;5;0.33372183014318685;A;lih-rih
probe_probability;CNN;R;6;0.43878122113249385;A;lih-rih
probe_probability;CNN;R;7;0.5427773821859557;A;lih-rih
probe_probability;CNN;R;8;0.5638432584566831;A;lih-rih
probe_probability;CNN;R;9;0.6330063805988395;A;lih-rih
probe_probability;CNN;R;10;0.7245069095852499;A;lih-rih
probe_probability;embeds;L;0;0.9986877419226975;A;lih-rih
probe_probability;embeds;L;1;0.9991052971218035;A;lih-rih
probe_probability;embeds;L;2;0.9989063937763355;A;lih-rih
probe_probability;embeds;L;3;0.9885655928531751;A;lih-rih
probe_probability;embeds;L;4;0.9434566319321889;A;lih-rih
probe_probability;embeds;L;5;0.8117032696125925;A;lih-rih
probe_probability;embeds;L;6;0.40704352806827415;A;lih-rih
probe_probability;embeds;L;7;0.05873620541502644;A;lih-rih
probe_probability;embeds;L;8;0.0255707649727287;A;lih-rih
probe_probability;embeds;L;9;0.005651783585931103;A;lih-rih
probe_probability;embeds;L;10;0.0009649728454430573;A;lih-rih
probe_probability;embeds;R;0;0.001312258077302552;A;lih-rih
probe_probability;embeds;R;1;0.0008947028781964772;A;lih-rih
probe_probability;embeds;R;2;0.0010936062236644914;A;lih-rih
probe_probability;embeds;R;3;0.01143440714682487;A;lih-rih
probe_probability;embeds;R;4;0.05654336806781111;A;lih-rih
probe_probability;embeds;R;5;0.1882967303874075;A;lih-rih
probe_probability;embeds;R;6;0.5929564719317258;A;lih-rih
probe_probability;embeds;R;7;0.9412637945849736;A;lih-rih
probe_probability;embeds;R;8;0.9744292350272713;A;lih-rih
probe_probability;embeds;R;9;0.9943482164140689;A;lih-rih
probe_probability;embeds;R;10;0.9990350271545569;A;lih-rih
probe_probability;T1;L;0;0.9860590382965483;A;lih-rih
probe_probability;T1;L;1;0.984430350242488;A;lih-rih
probe_probability;T1;L;2;0.9675266428903352;A;lih-rih
probe_probability;T1;L;3;0.8731444721758643;A;lih-rih
probe_probability;T1;L;4;0.5766407699590481;A;lih-rih
probe_probability;T1;L;5;0.35276896593136353;A;lih-rih
probe_probability;T1;L;6;0.060550445418286136;A;lih-rih
probe_probability;T1;L;7;0.00413529285610581;A;lih-rih
probe_probability;T1;L;8;0.004694195859530015;A;lih-rih
