measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.885941557252229;A;lih-rih
probe_probability;CNN;L;1;0.8786525540446192;A;lih-rih
probe_probability;CNN;L;2;0.8586423317595244;A;lih-rih
probe_probability;CNN;L;3;0.7943909724548712;A;lih-rih
probe_probability;CNN;L;4;0.7217194634640465;A;lih-rih
probe_probability;CNN;L;5;0.6662781698568132;A;lih-rih
probe_probability;CNN;L;6;0.5612187788675062;A;lih-rih
probe_probability;CNN;L;7;0.4572226178140443;A;lih-rih
probe_probability;CNN;L;8;0.43615674154331685;A;lih-rih
probe_probability;CNN;L;9;0.3669936194011605;A;lih-rih
probe_probability;CNN;L;10;0.2754930904147501;A;lih-rih
probe_probability;CNN;R;0;0.11405844274777104;A;lih-rih
probe_probability;CNN;R;1;0.12134744595538079;A;lih-rih
probe_probability;CNN;R;2;0.14135766824047563;A;lih-rih
probe_probability;CNN;R;3;0.20560902754512875;A;lih-rih
probe_probability;CNN;R;4;0.27828053653595347;A;lih-rih
probe_probability;CNN;R;5;0.33372183014318685;A;lih-rih
probe_probability;CNN;R;6;0.43878122113249385;A;lih-rih
probe_probability;CNN;R;7;0.5427773821859557;A;lih-rih
probe_probability;CNN;R;8;0.5638432584566831;A;lih-rih
probe_probability;CNN;R;9;0.6330063805988395;A;lih-rih
probe_probability;CNN;R;10;0.7245069095852499;A;lih-rih
probe_probability;embeds;L;0;0.9992137401885661;A;lih-rih
probe_probability;embeds;L;1;0.9993061817532952;A;lih-rih
probe_probability;embeds;L;2;0.9992761047069838;A;lih-rih
probe_probability;embeds;L;3;0.9926998977833649;A;lih-rih
probe_probability;embeds;L;4;0.9549430012516097;A;lih-rih
probe_probability;embeds;L;5;0.8198626523488698;A;lih-rih
probe_probability;embeds;L;6;0.45247297971162836;A;lih-rih
probe_probability;embeds;L;7;0.06766694952075913;A;lih-rih
probe_probability;embeds;L;8;0.02631012560382695;A;lih-rih
probe_probability;embeds;L;9;0.004588940687164755;A;lih-rih
probe_probability;embeds;L;10;0.0007583786213798405;A;lih-rih
probe_probability;embeds;R;0;0.00078625981143386;A;lih-rih
probe_probability;embeds;R;1;0.0006938182467047831;A;lih-rih
probe_probability;embeds;R;2;0.0007238952930161611;A;lih-rih
probe_probability;embeds;R;3;0.007300102216635128;A;lih-rih
probe_probability;embeds;R;4;0.04505699874839034;A;lih-rih
probe_probability;embeds;R;5;0.18013734765113024;A;lih-rih
probe_probability;embeds;R;6;0.5475270202883716;A;lih-rih
probe_probability;embeds;R;7;0.9323330504792409;A;lih-rih
probe_probability;embeds;R;8;0.973689874396173;A;lih-rih
probe_probability;embeds;R;9;0.9954110593128352;A;lih-rih
probe_probability;embeds;R;10;0.9992416213786202;A;lih-rih
probe_probability;T1;L;0;0.9592879555518204;A;lih-rih
probe_probability;T1;L;1;0.9755183485873429;A;lih-rih
probe_probability;T1;L;2;0.9633783984946893;A;lih-rih
probe_probability;T1;L;3;0.8540239561054356;A;lih-rih
probe_probability;T1;L;4;0.5908504321809098;A;lih-rih
probe_probability;T1;L;5;0.44656895746593317;A;lih-rih
probe_probability;T1;L;6;0.07827922390604136;A;lih-rih
probe_probability;T1;L;7;0.007687392810839966;A;lih-rih
probe_probability;T1;L;8;0.009888285770861649;A;lih-rih
