measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.002958952802376902;A;lih-rih
probe_probability;CNN;L;1;0.011657199533409268;A;lih-rih
probe_probability;CNN;L;2;0.005149297129872665;A;lih-rih
probe_probability;CNN;L;3;0.019692156122501747;A;lih-rih
probe_probability;CNN;L;4;0.01561775100945817;A;lih-rih
probe_probability;CNN;L;5;0.007933751887328588;A;lih-rih
probe_probability;CNN;L;6;0.012897710210766355;A;lih-rih
probe_probability;CNN;L;7;0.04241498635688268;A;lih-rih
probe_probability;CNN;L;8;0.059326983800610744;A;lih-rih
probe_probability;CNN;L;9;0.03380293810727486;A;lih-rih
probe_probability;CNN;L;10;0.11233198271273082;A;lih-rih
probe_probability;CNN;R;0;0.9970410471976231;A;lih-rih
probe_probability;CNN;R;1;0.9883428004665907;A;lih-rih
probe_probability;CNN;R;2;0.9948507028701273;A;lih-rih
probe_probability;CNN;R;3;0.9803078438774983;A;lih-rih
probe_probability;CNN;R;4;0.9843822489905418;A;lih-rih
probe_probability;CNN;R;5;0.9920662481126714;A;lih-rih
probe_probability;CNN;R;6;0.9871022897892336;A;lih-rih
probe_probability;CNN;R;7;0.9575850136431173;A;lih-rih
probe_probability;CNN;R;8;0.9406730161993893;A;lih-rih
probe_probability;CNN;R;9;0.9661970618927251;A;lih-rih
probe_probability;CNN;R;10;0.8876680172872692;A;lih-rih
probe_probability;embeds;L;0;9.686496049710058e-11;A;lih-rih
probe_probability;embeds;L;1;1.219024881038422e-13;A;lih-rih
probe_probability;embeds;L;2;4.115496832213239e-10;A;lih-rih
probe_probability;embeds;L;3;4.36339853138179e-11;A;lih-rih
probe_probability;embeds;L;4;1.0480505352461478e-13;A;lih-rih
probe_probability;embeds;L;5;2.8910207561239076e-12;A;lih-rih
probe_probability;embeds;L;6;2.3804129778426386e-09;A;lih-rih
probe_probability;embeds;L;7;1.4984236074155888e-11;A;lih-rih
probe_probability;embeds;L;8;2.729816372948335e-12;A;lih-rih
probe_probability;embeds;L;9;3.751133403895324e-09;A;lih-rih
probe_probability;embeds;L;10;1.187261622348501e-09;A;lih-rih
probe_probability;embeds;R;0;0.999999999903135;A;lih-rih
probe_probability;embeds;R;1;0.9999999999998781;A;lih-rih
probe_probability;embeds;R;2;0.9999999995884503;A;lih-rih
probe_probability;embeds;R;3;0.999999999956366;A;lih-rih
probe_probability;embeds;R;4;0.9999999999998952;A;lih-rih
probe_probability;embeds;R;5;0.999999999997109;A;lih-rih
probe_probability;embeds;R;6;0.999999997619587;A;lih-rih
probe_probability;embeds;R;7;0.9999999999850158;A;lih-rih
probe_probability;embeds;R;8;0.9999999999972702;A;lih-rih
probe_probability;embeds;R;9;0.9999999962488666;A;lih-rih
probe_probability;embeds;R;10;0.9999999988127384;A;lih-rih
probe_probability;T1;L;0;0.002793874746728209;A;lih-rih
probe_probability;T1;L;1;0.002631544423850163;A;lih-rih
probe_probability;T1;L;2;0.04818056879247612;A;lih-rih
probe_probability;T1;L;3;0.0007613083498693163;A;lih-rih
probe_probability;T1;L;4;0.00020506300329814486;A;lih-rih
probe_probability;T1;L;5;0.01073266998721134;A;lih-rih
probe_probability;T1;L;6;0.0009708537008615847;A;lih-rih
